Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C9",0402,4,10u,C15525
"C4, C5",0402,2,12pF,C1547
"C6, C8",0402,2,100n,C1525
C7,0402,1,4.7u,C23733
CHG1,0603,1,Red,C19189741
D1,D_SOD-323,1,BSD3C051V,C151996
D2,D_SOD-323,1,1N5819WS,C191023
D3,LED_Smidr_RGB_1209,1,E6C1209RGBC3UDA,C375572
F1,1206,1,PTC 1A hold,C883131
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-12,C51911914
L1,0603,1,10uH,C86083
"L2, L3",0402,2,BLM15PX121SN1D,C88970
"Q1, Q3",SOT-23,2,AO3401A,C15127
Q2,SOT-23,1,2N7002,C8545
"R1, R2",0402,2,27,C25100
"R10, R11",0402,2,4.7k,C25900
R12,0402,1,1k,C11702
"R13, R9",0402,2,10k,C25744
R3,0402,1,1.5k,C25867
R4,0402,1,100k,C25741
"R5, R6",0402,2,5.1k,C25905
R7,0402,1,3.3k,C25890
R8,0402,1,100,C25076
S1,SW_SPDT_Shouhan_MSK12C02,1,MSK12C02-HB,C431541
T1,SW_SMD_2P-TS24CA,1,TS24CA,C393942
U1,Raytac_MDBT50Q,1,MDBT50Q-1MV2,C5118826
U2,TSOT-23-6,1,TP4057,C12044
U3,SOT-23-6,1,SRV05-4,C7420376
X1,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,1,32.768kHz,C32346
