Designator,Mid X,Mid Y,Rotation,Layer
C1,210.43075,-89.128125,270.0,bottom
C2,211.93075,-89.128125,270.0,bottom
C3,207.03075,-89.128125,270.0,bottom
C4,216.73075,-91.528125,180.0,bottom
C5,214.73075,-91.528125,0.0,bottom
C6,212.73075,-107.928125,90.0,bottom
C7,210.33075,-101.528125,0.0,bottom
C8,115.490178,-52.982796,270.0,bottom
C9,211.13075,-107.928125,270.0,bottom
CHG1,217.33075,-104.528125,90.0,bottom
D1,95.2495,-52.528125,180.0,bottom
D2,211.93075,-93.128125,0.0,bottom
D3,78.58075,-56.35625,180.0,top
F1,89.296375,-58.340625,270.0,bottom
J1,106.362,-53.578125,180.0,bottom
J2,216.73075,-108.163125,0.0,bottom
J3,216.73075,-119.903125,0.0,bottom
L1,208.73075,-89.128125,90.0,bottom
L2,113.902674,-52.982796,270.0,bottom
L3,95.2495,-54.5703,0.0,bottom
Q1,211.93075,-97.528125,90.0,bottom
Q2,201.93075,-109.528125,90.0,bottom
Q3,205.53075,-109.528125,90.0,bottom
R1,205.53075,-89.128125,90.0,bottom
R10,82.568428,-57.546875,0.0,bottom
R11,82.568428,-55.165625,0.0,bottom
R12,82.5495,-56.35625,0.0,bottom
R13,207.93075,-107.928125,90.0,bottom
R2,203.93075,-89.128125,90.0,bottom
R3,212.93075,-100.728125,270.0,bottom
R4,210.33075,-99.928125,180.0,bottom
R5,103.187,-60.721875,0.0,bottom
R6,109.537,-60.721875,180.0,bottom
R7,214.33075,-104.328125,270.0,bottom
R8,209.53075,-107.928125,90.0,bottom
R9,199.53075,-109.528125,270.0,bottom
S1,216.73075,-98.428125,270.0,bottom
SW1,99.21875,-59.53125,0.0,bottom
SW10,147.12875,-80.47325,7.5,bottom
SW11,152.01175,-100.46825,9.613,bottom
SW12,145.08175,-118.65625,188.425,bottom
SW13,161.30375,-63.41825,10.323000000000008,bottom
SW14,166.12475,-83.82225,12.5,bottom
SW15,170.92775,-104.61425,15.107,bottom
SW16,180.06575,-67.61825,14.911000000000001,bottom
SW17,184.75775,-88.81525,17.5,bottom
SW18,189.36075,-110.55125,20.599999999999994,bottom
SW19,198.43075,-73.30525,19.498999999999995,bottom
SW2,101.59975,-78.58125,0.0,bottom
SW20,202.88375,-95.41225,22.5,bottom
SW21,207.14075,-118.22525,26.09299999999999,bottom
SW3,103.98075,-97.63125,0.0,bottom
SW4,96.83675,-116.68125,180.0,bottom
SW5,123.07575,-59.57925,1.1469999999999914,bottom
SW6,127.91275,-78.79125,2.5,bottom
SW7,132.78475,-98.15325,4.1200000000000045,bottom
SW8,120.71475,-116.69725,180.766,bottom
SW9,142.26675,-60.73325,5.735000000000014,bottom
T1,216.93075,-112.728125,90.0,bottom
TP1,203.13075,-76.328125,0.0,bottom
TP2,204.73075,-76.328125,0.0,bottom
U1,211.93075,-78.978125,0.0,bottom
U2,211.93075,-104.328125,270.0,bottom
U3,114.696375,-58.340625,90.0,bottom
X1,215.73075,-89.328125,180.0,bottom
