Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C9",0402,5,10u,
"C4, C8",0402,2,0.1u,
"C5, C6",0402,2,12pF,
C7,0402,1,4.7u,
CHG1,0603,1,Red,
D1,D_SOD-323,1,BSD3C051V,
D2,D_SOD-323,1,1N5819WS,
F1,1206,1,PTC 1A hold,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-12,
J2,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06,
J4,PinHeader_1x05_P1.27mm_Vertical,1,Conn_01x05,
L1,0402,1,10uH,
"L2, L3",0402,2,BLM15PX121SN1D,
"Q1, Q3",SOT-23,2,AO3401A,
Q2,SOT-23,1,2N7002,
"R1, R2",0402,2,27,
"R10, R11",0402,2,10k,
R3,0402,1,1.5k,
"R4, R5",0402,2,5.1k,
R6,0402,1,4k,
R7,0402,1,1,
R8,0402,1,100k,
R9,0402,1,100R,
S1,SW_SPDT_Shouhan_MSK12C02,1,MSK12C02-HB,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW22, SW23, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Smidr_Gateron_LP_Hotswap,21,1U,
SW18,SW_Smidr_Gateron_LP_Hotswap,1,2.25U,
SW21,SW_Smidr_Gateron_LP_Hotswap,1,1.5U,
T1,SW_SMD_2P-TS24CA,1,TS24CA,C393942
U1,Raytac_MDBT50Q,1,MDBT50Q-1MV2,
U2,TSOT-23-6,1,TP4057,
U3,SOT-23-6,1,SRV05-4,
X1,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,1,32.768kHz,
