Designator,Mid X,Mid Y,Rotation,Layer
C1,77.7,-107.721875,90.0,bottom
C2,76.2005,-107.721875,90.0,bottom
C3,81.1,-107.721875,90.0,bottom
C4,71.4005,-105.321875,0.0,bottom
C5,73.4005,-105.321875,180.0,bottom
C6,75.4005,-88.921875,270.0,bottom
C7,77.8005,-95.321875,180.0,bottom
C8,190.897664,-52.982649,270.0,bottom
C9,77.0005,-88.921875,90.0,bottom
CHG1,70.8005,-92.321875,270.0,bottom
D1,170.656675,-52.528125,180.0,bottom
D2,76.2005,-103.721875,180.0,bottom
F1,164.703625,-58.340473,270.0,bottom
J1,181.76925,-53.578125,180.0,bottom
J2,71.4005,-88.686874,180.0,bottom
J3,77.75666846828398,-69.32503370995363,68.207,bottom
J4,71.4005,-77.581875,180.0,bottom
L1,79.4005,-107.721875,270.0,bottom
L2,189.31016,-52.982649,270.0,bottom
L3,170.65675,-54.5703,0.0,bottom
Q1,76.2005,-99.321875,270.0,bottom
Q2,86.2005,-87.321875,270.0,bottom
Q3,82.6005,-87.321875,270.0,bottom
R1,82.6005,-107.721875,270.0,bottom
R10,80.2005,-88.921875,270.0,bottom
R2,84.2005,-107.721875,270.0,bottom
R3,75.2005,-96.121875,90.0,bottom
R4,77.8005,-96.921875,0.0,bottom
R5,178.59425,-60.721875,0.0,bottom
R6,184.94425,-60.721875,180.0,bottom
R7,73.8005,-92.521875,90.0,bottom
R8,78.6005,-88.921875,270.0,bottom
R9,88.6005,-87.321875,90.0,bottom
S1,71.4005,-98.421875,90.0,bottom
SW1,80.7035,-76.69525,338.207,bottom
SW10,136.3195,-61.88525,351.971,bottom
SW11,141.0025,-80.47325,352.5,bottom
SW12,145.7055,-99.08025,353.13300000000004,bottom
SW13,155.4485,-59.96425,356.55899999999997,bottom
SW14,160.2185,-78.79125,357.5,bottom
SW15,165.0205,-97.68925,358.627,bottom
SW16,164.9975,-116.74625,178.476,bottom
SW17,174.6255,-59.53125,0.0,bottom
SW18,191.2945,-78.58125,0.0,bottom
SW19,184.1505,-97.63125,0.0,bottom
SW2,85.2475,-95.41225,337.5,bottom
SW20,184.1505,-116.68125,180.0,bottom
SW21,198.4375,-59.53125,0.0,bottom
SW22,203.2005,-97.63125,0.0,bottom
SW23,203.2005,-116.68125,180.0,bottom
SW3,89.7885,-114.17525,336.654,bottom
SW4,98.8265,-70.27725,342.79499999999996,bottom
SW5,103.3745,-88.81525,342.5,bottom
SW6,107.9155,-107.36125,342.147,bottom
SW7,117.4045,-65.33025,347.38300000000004,bottom
SW8,122.0065,-83.82225,347.5,bottom
SW9,126.6115,-102.31425,347.64,bottom
T1,71.2005,-84.121875,270.0,bottom
TP1,83.2,-118.121875,0.0,bottom
TP2,84.8,-118.121875,0.0,bottom
U1,76.2005,-117.871875,180.0,bottom
U2,76.2005,-92.521875,90.0,bottom
U3,190.103625,-58.340625,90.0,bottom
X1,72.4005,-107.521875,0.0,bottom
